pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,6/1/22,88.2,1.48,5.68,"Parke, John",657557,641949,,called_strike,,,,,8,"Paul DeJong grounds out, shortstop Romy Gonzalez to first baseman Seby Zavala.",R,R,L,CLT,MEM,S,,,0,0,2022,1.33,0.47,-0.11,1.88,,671056,676475,0,5,Top,,,,,,,-6.674201457,-128.3093422,-4.175526694,16.059748780042046,25.16618443,-26.3389809,3.15,1.62,,,,88.8,1752,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.96,,,,,,,,37,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,125,0,-0.166,,,,0.166,,-4,4,0.068,0.932,27,28,27,29,3,2,,,,,2.45,1.33,-1.33,
CH,6/1/22,81,1.73,5.37,"Parke, John",671056,641949,,ball,,,,,14,Ivan Herrera singles on a soft fly ball to left fielder Mark Payton.,R,R,L,CLT,MEM,B,,,1,2,2022,1.4,-0.11,1.99,1.73,,,,0,5,Top,,,,,,,-2.097825865,-117.8956735,-1.255162833,13.437434679314686,23.483321387679414,-33.19744728,3.11,1.6,,,,81.1,1610,6.4,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.06,,,,,,,,35,4,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,85,0,0.053,,,,-0.053,,-4,4,0.095,0.905,27,22,27,22,3,2,,,,,3.6,1.4,-1.4,
SI,6/1/22,88.3,1.29,5.66,"Parke, John",671056,641949,,called_strike,,,,,7,Ivan Herrera singles on a soft fly ball to left fielder Mark Payton.,R,R,L,CLT,MEM,S,,,1,1,2022,1.18,0.27,-0.78,1.64,,,,0,5,Top,,,,,,,-7.518045105,-128.4231845,-4.346359837,14.582550146892507,24.59254292966731,-28.46416241,3.11,1.6,,,,88.8,1551,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.01,,,,,,,,35,3,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,121,0,-0.073,,,,0.073,,-4,4,0.095,0.905,27,22,27,22,3,2,,,,,2.63,1.18,-1.18,
CH,6/1/22,79,1.8,5.47,"Parke, John",671056,641949,,ball,,,,,12,Ivan Herrera singles on a soft fly ball to left fielder Mark Payton.,R,R,L,CLT,MEM,B,,,0,0,2022,1.23,-0.06,1.67,2.64,,,,0,5,Top,,,,,,,-2.586724727,-115.0341272,0.7500679859273893,11.37724982372272,21.51410344952097,-33.03085496,3.11,1.6,,,,79.1,1405,6.4,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.15,,,,,,,,35,1,Changeup,0,4,4,0,4,0,4,0,Strategic,Strategic,86,0,0.071,,,,-0.071,,-4,4,0.095,0.905,27,22,27,22,3,2,,,,,3.71,1.23,-1.23,
SI,6/1/22,88,1.51,5.62,"Parke, John",656734,641949,,ball,,,,,14,"Evan Mendoza grounds out, third baseman Ryder Jones to first baseman Seby Zavala.",R,R,L,CLT,MEM,B,,,1,0,2022,1.29,0.39,0.53,1.39,,670298,,1,4,Top,,,,,,,-5.055148767,-128.0342812,-5.009907753,15.253353617276773,24.212187103501808,-27.09431366,3.24,1.67,,,,88.5,1555,6.4,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.1,,,,,,,,30,2,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,119,0,0.099,,,,-0.099,,-4,4,0.106,0.894,27,26,27,26,2,1,,,,,2.53,1.29,-1.29,
SI,6/1/22,87,1.41,5.71,"Parke, John",656734,641949,,ball,,,,,13,"Evan Mendoza grounds out, third baseman Ryder Jones to first baseman Seby Zavala.",R,R,L,CLT,MEM,B,,,0,0,2022,1.17,0.41,-1.89,0.15,,,670298,1,4,Top,,,,,,,-10.3130507,-126.1849857,-8.021763238,14.523652611815876,23.846321793442876,-26.31718615,3.24,1.67,,,,87.2,1619,6.4,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.06,,,,,,,,30,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,123,-0.007,0.059,,,,-0.059,,-4,4,0.113,0.887,27,26,27,26,2,1,,,,,2.6,1.17,-1.17,
FF,6/1/22,89.3,1.34,5.73,"Parke, John",670298,641949,,ball,,,,,13,Kramer Robertson singles on a ground ball to center fielder Adam Haseley.,R,R,L,CLT,MEM,B,,,0,2,2022,1.07,1.14,-0.91,1.82,,,,1,4,Top,,,,,,,-7.830793263,-129.7962757,-6.091594984,13.703388083657318,25.236107477420372,-18.17764766,3.06,1.57,,,,90.1,1878,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.79,,,,,,,,29,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,127,0,0.041,,,,-0.041,,-4,4,0.122,0.878,27,27,27,28,2,1,,,,,1.71,1.07,-1.07,
CU,6/1/22,75.9,1.3,6.04,"Parke, John",670298,641949,,called_strike,,,,,4,Kramer Robertson singles on a ground ball to center fielder Adam Haseley.,R,R,L,CLT,MEM,S,,,0,0,2022,-0.5,-0.43,-0.42,2.23,,,,1,4,Top,,,,,,,-2.725691117,-110.5249649,-0.088066737,-3.565883982,20.20315342806704,-35.91427006,3.06,1.57,,,,76.5,2248,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.77,,,,,,,,29,1,Curveball,0,4,4,0,4,0,4,0,Standard,Standard,310,0,-0.049,,,,0.049,,-4,4,0.122,0.878,27,27,27,28,2,1,,,,,4.39,-0.5,0.5,
SL,6/1/22,83.3,-1.76,5.81,"McClure, Kade",670298,656701,,called_strike,,,,,7,Kramer Robertson singles on a line drive to right fielder Micker Adolfo.   Conner Capel scores.    Luken Baker scores.,R,R,R,CLT,MEM,S,,,1,1,2022,0.73,-0.24,-0.4,1.69,668843,663609,,2,8,Top,,,,,,,1.6901245457580674,-121.4108938,-2.627041184,6.9457203322517636,21.731191481248562,-34.28394407,3.06,1.57,,,,83.7,2511,6.3,666237,656024,664874,691503,624507,621545,592622,656514,650520,54.2,,,,,,,,71,3,Slider,0,12,12,0,12,0,12,0,Standard,Strategic,69,0,-0.153,,,,0.153,,-12,12,0,1,26,27,26,28,2,4,,,,,3.49,-0.73,-0.73,
SL,6/1/22,85.4,-1.81,5.64,"McClure, Kade",670298,656701,,ball,,,,,14,Kramer Robertson singles on a line drive to right fielder Micker Adolfo.   Conner Capel scores.    Luken Baker scores.,R,R,R,CLT,MEM,B,,,0,1,2022,0.49,0.27,0.2,1.19,668843,663609,,2,8,Top,,,,,,,3.733800015,-124.4930807,-4.880389662,4.595274497317539,19.567821433648067,-28.73070079,3.06,1.57,,,,86,2499,6.1,666237,656024,664874,691503,624507,621545,592622,656514,650520,54.41,,,,,,,,71,2,Slider,0,12,12,0,12,0,12,0,Standard,Standard,95,0,0.099,,,,-0.099,,-12,12,0,1,26,27,26,28,2,4,,,,,2.79,-0.49,-0.49,
CH,6/1/22,80.1,1.74,5.4,"Parke, John",663609,641949,,ball,,,,,12,Luken Baker flies out to right fielder Micker Adolfo.,R,R,L,CLT,MEM,B,,,0,0,2022,0.86,0.2,1.45,4.14,,,,0,4,Top,,,,,,,-2.260168878,-116.5472925,3.590549785202044,8.250666820933262,22.84255302881214,-31.2668505,3.33,1.71,,,,80.2,1348,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.04,,,,,,,,28,1,Changeup,0,4,4,0,4,0,4,0,Infield shift,Standard,83,0,0.071,,,,-0.071,,-4,4,0.114,0.886,27,25,27,25,2,1,,,,,3.36,0.86,-0.86,
FF,6/1/22,93.6,-1.52,5.95,"McClure, Kade",670298,656701,,called_strike,,,,,12,Kramer Robertson singles on a line drive to right fielder Micker Adolfo.   Conner Capel scores.    Luken Baker scores.,R,R,R,CLT,MEM,S,,,0,0,2022,-0.74,1.54,0.89,2.85,668843,663609,,2,8,Top,,,,,,,7.829822915479324,-136.0792523,-5.699334388,-10.79528016,27.464655542591082,-11.8957389,3.06,1.57,,,,93.9,2389,6.3,666237,656024,664874,691503,624507,621545,592622,656514,650520,54.16,,,,,,,,71,1,4-Seam Fastball,0,12,12,0,12,0,12,0,Standard,Standard,208,0,-0.168,,,,0.168,,-12,12,0,1,26,27,26,28,2,4,,,,,1.05,0.74,0.74,
FF,6/1/22,92.9,-1.66,5.9,"McClure, Kade",663609,656701,,ball,,,,,12,Luken Baker doubles (7) on a sharp ground ball to center fielder Adam Haseley.   Conner Capel to 3rd.,R,R,R,CLT,MEM,B,,,0,2,2022,-0.64,1.17,0.85,3.76,,,668843,2,8,Top,,,,,,,7.817606383,-135.2616396,-2.349296478,-9.339293349,25.060094433009873,-17.39550517,3.33,1.71,,,,93.5,2308,6.3,666237,656024,664874,691503,624507,621545,592622,656514,650520,54.22,,,,,,,,70,4,4-Seam Fastball,0,12,12,0,12,0,12,0,Infield shift,Standard,208,0,0.045,,,,-0.045,,-12,12,0,1,26,25,26,25,2,4,,,,,1.44,0.64,0.64,
